"stop_id","stop_name","stop_lat","stop_lon","source_table","bus_lines"
100306,"PELHAM PKWY/THROOP AV","40.858028","-73.851524","bronx","['BX12']"
100317,"PELHAM PKWY/EASTCHESTER RD","40.857246","-73.843941","bronx","['BX12+', 'BX12']"
100318,"PELHAM PKWY/STILLWELL AV","40.856476","-73.838814","bronx","['BX12']"
100319,"PELHAM PKWY/ST PAUL AV","40.85545","-73.830666","bronx","['BX12']"
100322,"BRUCKNER BL/WILLOW LA","40.848919","-73.828094","bronx","['BX24', 'Q50', 'BX5']"
100323,"BRUCKNER BL/ROBERTS AV","40.846588","-73.826782","bronx","['BX24', 'BX5']"
100324,"BRUCKNER BL/MIDDLETOWN RD","40.844906","-73.826195","bronx","['BX24', 'BX5']"
100325,"BRUCKNER BL/JARVIS AV","40.843136","-73.826294","bronx","['BX24', 'Q50', 'BX5', 'BXM8']"
100326,"BRUCKNER BL/CODDINGTON AV","40.841438","-73.826172","bronx","['BX5']"
100328,"BRUCKNER BL/BAISLEY AV","40.837135","-73.82592","bronx","['Q50', 'BX5', 'BXM8']"
100329,"BRUCKNER BL/CROSBY AV","40.834499","-73.826157","bronx","['BX5']"
100330,"BRUCKNER BL/E TREMONT AV","40.832977","-73.829071","bronx","['BX5']"
100331,"BRUCKNER BL/GIFFORD AV","40.831306","-73.831726","bronx","['BX5']"
100337,"STORY AV/BOLTON AV","40.824165","-73.859673","bronx","['BX5']"
100338,"STORY AV/UNDERHILL AV","40.823967","-73.861145","bronx","['BX5']"
100339,"STORY AV/TAYLOR AV","40.823586","-73.864014","bronx","['BX5']"
100340,"STORY AV/ROSEDALE AV","40.823189","-73.86692","bronx","['BX5']"
100341,"STORY AV/SOUNDVIEW AV","40.822945","-73.86869","bronx","['BX5']"
100342,"STORY AV/FTELEY AV","40.822697","-73.870552","bronx","['BX5']"
100343,"STORY AV/MORRISON AV","40.822323","-73.873413","bronx","['BX5']"
100344,"STORY AV/BOYNTON AV","40.821793","-73.87719","bronx","['BX5']"
100347,"STORY AV/BRONX RIVER AV","40.821148","-73.882057","bronx","['BX5']"
100362,"E 161 ST/JEROME AV","40.829647","-73.929596","bronx","['BX13', 'BX6']"
100366,"E 161 ST/CONCOURSE VILLAGE E","40.825344","-73.918098","bronx","['BX13', 'BX6']"
100368,"E 161 ST/MELROSE AV","40.824173","-73.914017","bronx","['BX13', 'BX6']"
100369,"ELTON AV/E 161 ST","40.823719","-73.911705","bronx","['BX13', 'BX6']"
100370,"E 163 ST/3 AV","40.824066","-73.908928","bronx","['BX6']"
100373,"E 163 ST/TINTON AV","40.822517","-73.902748","bronx","['BX6']"
100374,"E 163 ST/PROSPECT AV","40.821892","-73.900192","bronx","['BX6']"
100376,"E 163 ST/WESTCHESTER AV","40.820908","-73.898499","bronx","['BX6']"
100377,"E 163 ST/INTERVALE AV","40.8209","-73.897079","bronx","['BX6']"
100379,"E 163 ST/FOX ST","40.820911","-73.892998","bronx","['BX6']"
100382,"HUNTS POINT AV/GARRISON AV","40.819275","-73.889687","bronx","['BX6']"
