route_id,trip_id,shape_id
B82,EN_B5-Weekday-047600_B82_103,B820199
B82,EN_B5-Weekday-040100_B82_127,B820206
B82,EN_B5-Weekday-050500_B82_133,B820200
B82,EN_B5-Weekday-040600_B82_129,B820206
B82,EN_B5-Weekday-051700_B82_132,B820200
B82,EN_B5-Weekday-069600_B82_115,B820198
B82,EN_B5-Weekday-080300_B82_153,B820206
B82,EN_B5-Weekday-090100_B82_153,B820200
B82,EN_B5-Weekday-041800_B82_102,B820205
B82,EN_B5-Weekday-048600_B82_102,B820199
B82,EN_B5-Weekday-041100_B82_106,B820206
B82,EN_B5-Weekday-052300_B82_107,B820200
B82,EN_B5-Weekday-059000_B82_115,B820202
B82,EN_B5-Weekday-069600_B82_116,B820199
B82,EN_B5-Weekday-077700_B82_113,B820206
B82,EN_B5-Weekday-089200_B82_146,B820200
B82,EN_B5-Weekday-097200_B82_142,B820202
B82,EN_B5-Weekday-108800_B82_168,B820199
B82,EN_B5-Weekday-042600_B82_134,B820205
B82,EN_B5-Weekday-049600_B82_134,B820199
B82,EN_B5-Weekday-057000_B82_113,B820202
B82,EN_B5-Weekday-067600_B82_113,B820198
B82,EN_B5-Weekday-076800_B82_114,B820206
B82,EN_B5-Weekday-088300_B82_142,B820200
B82,EN_B5-Weekday-096400_B82_134,B820203
B82,EN_B5-Weekday-108900_B82_148,B820200
B82,EN_B5-Weekday-052600_B82_139,B820199
B82,EN_B5-Weekday-050600_B42_7,B820199
B82,EN_B5-Weekday-043400_B42_7,B820205
B82,EN_B5-Weekday-051600_B82_137,B820199
B82,EN_B5-Weekday-053700_B82_108,B820200
B82,EN_B5-Weekday-044300_B82_108,B820206
B82,EN_B5-Weekday-054500_B82_109,B820200
B82,EN_B5-Weekday-045900_B42_8,B820206
B82,EN_B5-Weekday-055400_B42_8,B820200
B82,EN_B5-Weekday-062000_B82_125,B820203
B82,EN_B5-Weekday-073500_B82_118,B820198
B82,EN_B5-Weekday-084500_B82_110,B820206
B82,EN_B5-Weekday-093700_B82_128,B820200
B82,EN_B5-Weekday-103100_B42_10,B820203
B82,EN_B5-Weekday-115200_B82_169,B820199
B82,EN_B5-Weekday-124000_B82_168,B820202
B82,EN_B5-Weekday-132000_B82_165,B820198
B82,EN_B5-Weekday-055600_B82_145,B820199
B82,EN_B5-Weekday-056600_B82_146,B820199
B82,EN_B5-Weekday-063000_B82_118,B820202
B82,EN_B5-Weekday-073600_B82_121,B820199
B82,EN_B5-Weekday-081000_B82_139,B820203
B82,EN_B5-Weekday-092700_B82_127,B820199
B82,EN_B5-Weekday-047700_B82_140,B820206
B82,EN_B5-Weekday-057400_B82_140,B820200
B82,EN_B5-Weekday-048900_B82_106,B820206
B82,EN_B5-Weekday-058400_B82_106,B820200
B82,EN_B5-Weekday-066000_B82_140,B820203
B82,EN_B5-Weekday-077500_B82_124,B820198
B82,EN_B5-Weekday-086700_B42_3,B820203
B82,EN_B5-Weekday-098700_B82_157,B820199
B82,EN_B5-Weekday-116900_B82_154,B820198
B82,EN_B5-Weekday-125500_B82_159,B820202
B82,EN_B5-Weekday-133500_B82_168,B820198
B82,EN_B5-Weekday-141000_B82_168,B820202
B82,EN_B5-Weekday-148500_B82_168,B820198
B82,EN_B5-Weekday-072000_B82_144,B820203
B82,EN_B5-Weekday-083500_B82_126,B820199
B82,EN_B5-Weekday-092200_B82_148,B820206
B82,EN_B5-Weekday-102400_B82_145,B820200
B82,EN_B5-Weekday-113300_B82_165,B820202
B82,EN_B5-Weekday-123500_B42_11,B820198
B82,EN_B5-Weekday-133000_B82_162,B820202
B82,EN_B5-Weekday-139500_B82_169,B820198
B82,EN_B5-Weekday-147500_B82_169,B820202
B82,EN_B5-Weekday-154000_B82_169,B820198
B82,EN_B5-Weekday-073000_B82_112,B820203
B82,EN_B5-Weekday-085300_B82_130,B820199
B82,EN_B5-Weekday-105500_B82_143,B820199
B82,EN_B5-Weekday-074000_B82_119,B820203
B82,EN_B5-Weekday-086200_B82_150,B820199
B82,EN_B5-Weekday-095800_B82_150,B820206
B82,EN_B5-Weekday-105900_B82_166,B820200
B82,EN_B5-Weekday-115700_B82_155,B820202
B82,EN_B5-Weekday-141000_B82_162,B820198
B82,EN_B5-Weekday-075000_B82_130,B820203
B82,EN_B5-Weekday-087100_B82_151,B820199
B82,EN_B5-Weekday-096700_B82_151,B820206
B82,EN_B5-Weekday-106900_B82_138,B820200
B82,EN_B5-Weekday-116900_B82_167,B820202
B82,EN_B5-Weekday-125900_B82_155,B820198
B82,EN_B5-Weekday-076000_B82_150,B820203
B82,EN_B5-Weekday-088000_B82_129,B820199
B82,EN_B5-Weekday-077000_B82_151,B820203
B82,EN_B5-Weekday-088900_B82_131,B820199
B82,EN_B5-Weekday-098000_B82_146,B820203
B82,EN_B5-Weekday-109900_B82_149,B820198
B82,EN_B5-Weekday-078000_B82_129,B820203
B82,EN_B5-Weekday-089800_B82_152,B820199
B82,EN_B5-Weekday-098900_B82_153,B820202
B82,EN_B5-Weekday-118100_B82_160,B820202
B82,EN_B5-Weekday-127100_B82_161,B820198
B82,EN_B5-Weekday-135000_B82_161,B820202
B82,EN_B5-Weekday-142500_B82_161,B820198
B82,EN_B5-Weekday-081100_B82_125,B820206
B82,EN_B5-Weekday-091000_B42_9,B820200
B82,EN_B5-Weekday-082000_B82_154,B820206
B82,EN_B5-Weekday-100600_B82_139,B820202
B82,EN_B5-Weekday-109900_B82_141,B820199
B82,EN_B5-Weekday-119500_B82_149,B820202
B82,EN_B5-Weekday-128300_B82_160,B820198
B82,EN_B5-Weekday-137000_B82_166,B820202
B82,EN_B5-Weekday-144500_B82_166,B820198
B82,EN_B5-Weekday-082800_B82_121,B820206
B82,EN_B5-Weekday-091900_B82_154,B820200
B82,EN_B5-Weekday-101400_B82_154,B820203
B82,EN_B5-Weekday-113300_B82_146,B820198
B82,EN_B5-Weekday-083700_B82_118,B820206
B82,EN_B5-Weekday-092800_B82_109,B820200
B82,EN_B5-Weekday-102300_B82_127,B820202
B82,EN_B5-Weekday-111800_B82_142,B820199
B82,EN_B5-Weekday-121000_B82_151,B820202
B82,EN_B5-Weekday-129500_B82_166,B820198
B82,EN_B5-Weekday-082000_B42_4,B820203
B82,EN_B5-Weekday-093700_B42_10,B820199
B82,EN_B5-Weekday-083000_B82_127,B820203
B82,EN_B5-Weekday-094700_B82_147,B820199
B82,EN_B5-Weekday-084000_B42_10,B820203
B82,EN_B5-Weekday-095700_B82_156,B820199
B82,EN_B5-Weekday-086200_B82_158,B820206
B82,EN_B5-Weekday-095500_B82_111,B820200
B82,EN_B5-Weekday-105700_B82_158,B820202
B82,EN_B5-Weekday-117000_B82_159,B820199
B82,EN_B5-Weekday-087100_B82_155,B820206
B82,EN_B5-Weekday-096400_B82_158,B820200
B82,EN_B5-Weekday-087900_B82_132,B820206
B82,EN_B5-Weekday-097300_B82_155,B820200
B82,EN_B5-Weekday-088800_B42_6,B820206
B82,EN_B5-Weekday-098200_B82_132,B820200
B82,EN_B5-Weekday-109300_B82_162,B820202
B82,EN_B5-Weekday-120500_B82_163,B820199
B82,EN_B5-Weekday-099000_B42_6,B820200
B82,EN_B5-Weekday-088400_B82_157,B820203
B82,EN_B5-Weekday-100700_B42_12,B820199
B82,EN_B5-Weekday-089200_B42_5,B820203
B82,EN_B5-Weekday-101600_B82_160,B820199
B82,EN_B5-Weekday-090000_B42_12,B820203
B82,EN_B5-Weekday-102500_B82_124,B820199
B82,EN_B5-Weekday-103500_B82_126,B820199
B82,EN_B5-Weekday-104500_B82_136,B820199
B82,EN_B5-Weekday-049500_B82_147,B820205
B82,EN_B5-Weekday-033700_B82_113,B820204
B82,EN_B5-Weekday-044200_B82_137,B820205
B82,EN_B5-Weekday-045000_B82_139,B820205
B82,EN_B5-Weekday-045800_B82_141,B820205
B82,EN_B5-Weekday-046700_B82_142,B820205
B82,EN_B5-Weekday-047700_B82_145,B820205
B82,EN_B5-Weekday-048600_B82_146,B820205
B82,EN_B5-Weekday-104000_B82_150,B820202
B82,EN_B5-Weekday-107400_B82_153,B820202
B82,EN_B5-Weekday-035700_B82_108,B820198
B82,EN_B5-Weekday-095600_B82_114,B820202
B82,EN_B5-Weekday-090800_B82_160,B820203
B82,EN_B5-Weekday-091600_B82_135,B820203
B82,EN_B5-Weekday-092400_B82_138,B820203
B82,EN_B5-Weekday-093200_B82_136,B820203
B82,EN_B5-Weekday-094000_B82_143,B820203
B82,EN_B5-Weekday-094800_B82_161,B820203
B82,EN_B5-Weekday-040200_B82_128,B820205
B82,EN_B5-Weekday-042100_B82_132,B820206
B82,EN_B5-Weekday-043500_B82_135,B820206
B82,EN_B5-Weekday-045100_B82_109,B820206
B82,EN_B5-Weekday-078600_B82_116,B820206
B82,EN_B5-Weekday-079400_B82_115,B820206
B82,EN_B5-Weekday-093100_B82_137,B820206
B82,EN_B5-Weekday-042300_B82_114,B820200
B82,EN_B5-Weekday-107900_B82_144,B820200
B82,EN_B5-Weekday-104100_B82_165,B820200
B82,EN_B5-Weekday-049300_B82_127,B820200
B82,EN_B5-Weekday-086500_B82_114,B820200
B82,EN_B5-Weekday-082600_B82_148,B820200
B82,EN_B5-Weekday-083600_B82_138,B820200
B82,EN_B5-Weekday-031400_B82_110,B820202
B82,EN_B5-Weekday-051100_B82_131,B820200
B82,EN_B5-Weekday-041600_B82_131,B820206
B84,EN_B5-Weekday-033000_B84_201,B840012
B84,EN_B5-Weekday-036000_B84_202,B840012
B84,EN_B5-Weekday-039000_B84_201,B840012
B84,EN_B5-Weekday-042000_B84_202,B840012
B84,EN_B5-Weekday-045000_B84_201,B840012
B84,EN_B5-Weekday-048000_B84_202,B840012
B84,EN_B5-Weekday-051000_B84_201,B840012
B84,EN_B5-Weekday-054000_B84_202,B840012
B84,EN_B5-Weekday-057000_B84_201,B840012
B84,EN_B5-Weekday-060000_B84_202,B840012
B84,EN_B5-Weekday-063000_B45_2,B840012
B84,EN_B5-Weekday-066000_B84_204,B840012
B84,EN_B5-Weekday-069000_B45_2,B840012
B84,EN_B5-Weekday-072000_B84_204,B840012
B84,EN_B5-Weekday-075000_B45_2,B840012
B84,EN_B5-Weekday-078000_B84_204,B840012
B84,EN_B5-Weekday-081000_B45_2,B840012
B84,EN_B5-Weekday-084000_B84_204,B840012
B84,EN_B5-Weekday-087000_B84_203,B840012
B84,EN_B5-Weekday-090000_B84_205,B840012
B84,EN_B5-Weekday-093000_B84_203,B840012
B84,EN_B5-Weekday-096000_B84_205,B840012
B84,EN_B5-Weekday-099000_B84_203,B840012
B84,EN_B5-Weekday-102000_B84_205,B840012
B84,EN_B5-Weekday-105000_B84_203,B840012
B84,EN_B5-Weekday-108000_B84_205,B840012
B84,EN_B5-Weekday-111000_B84_203,B840012
B84,EN_B5-Weekday-114000_B84_205,B840012
B84,EN_B5-Weekday-117000_B65_110,B840012
B84,EN_B5-Weekday-120000_B45_16,B840012
B84,EN_B5-Weekday-123000_B65_110,B840012
B84,EN_B5-Weekday-126000_B45_16,B840012
B84,EN_B5-Weekday-035100_B84_201,B840011
B84,EN_B5-Weekday-038100_B84_202,B840011
B84,EN_B5-Weekday-041100_B84_201,B840011
B84,EN_B5-Weekday-044100_B84_202,B840011
B84,EN_B5-Weekday-047100_B84_201,B840011
B84,EN_B5-Weekday-050100_B84_202,B840011
B84,EN_B5-Weekday-053100_B84_201,B840011
B84,EN_B5-Weekday-056100_B84_202,B840011
B84,EN_B5-Weekday-059100_B84_201,B840011
B84,EN_B5-Weekday-062100_B84_202,B840011
B84,EN_B5-Weekday-065100_B45_2,B840011
B84,EN_B5-Weekday-068100_B84_204,B840011
B84,EN_B5-Weekday-071100_B45_2,B840011
B84,EN_B5-Weekday-074100_B84_204,B840011
B84,EN_B5-Weekday-077100_B45_2,B840011
B84,EN_B5-Weekday-080100_B84_204,B840011
B84,EN_B5-Weekday-083100_B45_2,B840011
B84,EN_B5-Weekday-086100_B84_205,B840011
B84,EN_B5-Weekday-089100_B84_203,B840011
B84,EN_B5-Weekday-092100_B84_205,B840011
B84,EN_B5-Weekday-095100_B84_203,B840011
B84,EN_B5-Weekday-098100_B84_205,B840011
B84,EN_B5-Weekday-101100_B84_203,B840011
B84,EN_B5-Weekday-104100_B84_205,B840011
B84,EN_B5-Weekday-107100_B84_203,B840011
B84,EN_B5-Weekday-110100_B84_205,B840011
B84,EN_B5-Weekday-113100_B84_203,B840011
B84,EN_B5-Weekday-116100_B45_16,B840011
B84,EN_B5-Weekday-119100_B65_110,B840011
B84,EN_B5-Weekday-122100_B45_16,B840011
B84,EN_B5-Weekday-125100_B65_110,B840011
B84,EN_B5-Weekday-128100_B45_16,B840011
B12,EN_B5-Weekday-008100_B12_1,B120102
B12,EN_B5-Weekday-011000_B12_1,B120101
B12,EN_B5-Weekday-016100_B12_1,B120102
B12,EN_B5-Weekday-019000_B12_1,B120101
B12,EN_B5-Weekday-012100_B12_2,B120102
B12,EN_B5-Weekday-015000_B12_2,B120101
B12,EN_B5-Weekday-020100_B12_2,B120102
B12,EN_B5-Weekday-023000_B12_2,B120101
B12,EN_B5-Weekday-023100_B12_3,B120102
B12,EN_B5-Weekday-026000_B12_3,B120101
B12,EN_B5-Weekday-030100_B12_3,B120102
B12,EN_B5-Weekday-034000_B12_3,B120101
B12,EN_B5-Weekday-037800_B12_3,B120102
B12,EN_B5-Weekday-042200_B12_3,B120101
B12,EN_B5-Weekday-047900_Q56_518,B120102
B12,EN_B5-Weekday-052500_B12_13,B120101
B12,EN_B5-Weekday-057600_B12_13,B120102
B12,EN_B5-Weekday-062400_B12_13,B120101
B12,EN_B5-Weekday-067400_B25_217,B120102
B12,EN_B5-Weekday-072500_B25_217,B120101
B12,EN_B5-Weekday-077500_B12_19,B120102
B12,EN_B5-Weekday-087100_Q56_517,B120102
B12,EN_B5-Weekday-092300_B12_15,B120101
B12,EN_B5-Weekday-098000_B12_15,B120102
B12,EN_B5-Weekday-103100_B12_23,B120101
B12,EN_B5-Weekday-108900_B12_23,B120102
B12,EN_B5-Weekday-114300_B12_23,B120101
B12,EN_B5-Weekday-120400_B25_228,B120102
B12,EN_B5-Weekday-123700_B12_25,B120101
B12,EN_B5-Weekday-130000_B25_228,B120102
B12,EN_B5-Weekday-132500_B12_25,B120101
B12,EN_B5-Weekday-137300_B12_25,B120102
B12,EN_B5-Weekday-141500_B12_25,B120101
B12,EN_B5-Weekday-146100_B12_25,B120102
B12,EN_B5-Weekday-149500_B12_25,B120101
B12,EN_B5-Weekday-025100_B12_4,B120102
B12,EN_B5-Weekday-028500_B12_4,B120101
B12,EN_B5-Weekday-032600_B12_4,B120102
B12,EN_B5-Weekday-036400_B12_4,B120101
B12,EN_B5-Weekday-041400_Q56_501,B120102
B12,EN_B5-Weekday-045900_Q24_416,B120101
B12,EN_B5-Weekday-051600_Q56_501,B120102
B12,EN_B5-Weekday-060400_B12_6,B120102
B12,EN_B5-Weekday-065200_B12_6,B120101
B12,EN_B5-Weekday-070000_B12_6,B120102
B12,EN_B5-Weekday-075100_B12_6,B120101
B12,EN_B5-Weekday-080500_B12_13,B120102
B12,EN_B5-Weekday-084500_Q24_418,B120101
B12,EN_B5-Weekday-089500_B12_16,B120102
B12,EN_B5-Weekday-094500_B12_24,B120101
B12,EN_B5-Weekday-101000_B12_16,B120102
B12,EN_B5-Weekday-105300_B12_22,B120101
B12,EN_B5-Weekday-110600_B12_22,B120102
B12,EN_B5-Weekday-116700_B12_24,B120101
B12,EN_B5-Weekday-122800_Q24_432,B120102
B12,EN_B5-Weekday-033600_B15_103,B120102
B12,EN_B5-Weekday-042600_B12_11,B120102
