B10153-19,"LINESTRING (-73.9598652241 40.57794412280001, -73.95975721489999 40.5779665924, -73.95963480489999 40.5779912526, -73.9590155488 40.5781227836, -73.9584574948 40.5782433543, -73.9581334825 40.5782816639, -73.9578095027 40.5782678214, -73.9576838814 40.5782452678)"
B10153-2,"LINESTRING (-73.9834135982 40.5956352017, -73.9830474518 40.5954155648, -73.98197819169999 40.5947621413, -73.9809377505 40.5941361605, -73.9807109451 40.5939961382, -73.98035957649999 40.5937866509)"
B10153-20,"LINESTRING (-73.9576838814 40.5782452678, -73.95764032789999 40.5782375663, -73.9569132888 40.5780286913, -73.9566469527 40.5779462472, -73.95605309600001 40.5777648649, -73.9557867621 40.5776824188, -73.95532787819999 40.5775392373)"
B10153-21,"LINESTRING (-73.95532787819999 40.5775392373, -73.9552145072 40.5775037852, -73.9548329995 40.5773938439, -73.9546962304 40.5773581077, -73.95456664609999 40.5773443325, -73.9543758481 40.5773552361, -73.9542102807 40.5773194879, -73.95410695699999 40.5773323472)"
B10153-22,"LINESTRING (-73.95410695699999 40.5773323472, -73.95394747109999 40.5773523204, -73.953832698 40.5767429291, -73.95362749479999 40.57676480489999, -73.9535050656 40.5768169066, -73.95307089880001 40.5768620192)"
B10153-23,"LINESTRING (-73.95307089880001 40.5768620192, -73.9528750554 40.576882525, -73.9527310907 40.5768440387, -73.95190307279999 40.5769342734, -73.95098504950001 40.5770354429, -73.9505458376 40.5770835631)"
B10153-24,"LINESTRING (-73.9505458376 40.5770835631, -73.9500634236 40.5771366035, -73.9491453947 40.5772377584, -73.9488145445 40.5772730193)"
B10153-25,"LINESTRING (-73.9488145445 40.5772730193, -73.9482237653 40.5773361594, -73.94740149489999 40.5774263643)"
B10153-26,"LINESTRING (-73.94740149489999 40.5774263643, -73.9472517292 40.5774427644, -73.9462796899 40.5775493611, -73.9453652494 40.5776504874, -73.9444436065 40.5777516029, -73.944007985 40.5777996999)"
B10153-27,"LINESTRING (-73.944007985 40.5777996999, -73.9435255607 40.5778527128, -73.94257871319999 40.577953801, -73.9416462599 40.5780576335, -73.9412426761 40.5781024425)"
B10153-28,"LINESTRING (-73.9412426761 40.5781024425, -73.94073540540001 40.5781587248, -73.94046179109999 40.5781860313, -73.9402998536 40.5781228169, -73.94018827010001 40.5781090349, -73.9399693753 40.5781347218)"
B10153-29,"LINESTRING (-73.9399693753 40.5781347218, -73.93994597370001 40.5781374544)"
B10153-3,"LINESTRING (-73.98035957649999 40.5937866509, -73.9798865283 40.5935046788, -73.97881624840001 40.5928547938)"
B10153-4,"LINESTRING (-73.97881624840001 40.5928547938, -73.9787741288 40.5928292594, -73.9784753301 40.5926562818, -73.9782917328 40.5925464555, -73.9777229514 40.5921867786, -73.9772225558 40.5919204355, -73.9769716504 40.5917551489)"
B10153-5,"LINESTRING (-73.9769716504 40.5917551489, -73.97651340020001 40.5914536778, -73.97583663180001 40.5910637766, -73.97513467970001 40.5906409285, -73.9744363391 40.5902125874, -73.9742923407 40.5901549145, -73.9741951428 40.5901137208, -73.9740799222 40.5901246741, -73.9740007067 40.5901356354, -73.97373965920001 40.5901622005)"
B10153-6,"LINESTRING (-73.97373965920001 40.5901622005, -73.9729745188 40.5902397008, -73.97207794880001 40.590338299, -73.97115256949999 40.5904423726, -73.9708202258 40.5904765987)"
B10153-7,"LINESTRING (-73.9708202258 40.5904765987, -73.9702235905 40.5905382035, -73.96930180359999 40.5906477527, -73.968899603 40.5906915612)"
B10153-8,"LINESTRING (-73.968899603 40.5906915612, -73.96837281649999 40.5907490581, -73.96787591499999 40.5908038162, -73.9674438266 40.5908503561, -73.9671201197 40.5908856718)"
B10153-9,"LINESTRING (-73.9671201197 40.5908856718, -73.9665184344 40.5909516476, -73.965559911 40.5910592347)"
B110025-1,"LINESTRING (-73.946749285 40.6319612186, -73.94682668670001 40.6320337167, -73.9476439086 40.6328081206, -73.94771591109999 40.6328767729, -73.94883197819999 40.6339285269, -73.9494512359 40.63450520510001, -73.9495633385 40.6344360859)"
