shape_id,meters
B140040-16,148.9342548
B140040-17,160.0165761
B140040-18,148.9516642
B140040-19,156.33635
B140040-2,334.3756174
B140040-20,156.2807732
B140040-21,168.3323297
B140040-22,238.5516824
B140040-23,162.9053501
B140040-24,127.2701585
B140040-25,101.8842634
B140040-26,182.1210168
B140040-27,176.4364797
B140040-28,75.89683987
B140040-29,188.3864903
B140040-3,206.7670661
B140040-30,224.526536
B140040-31,175.9617347
B140040-32,142.4503506
B140040-33,146.7328601
B140040-34,154.3623558
B140040-35,165.2943559
B140040-36,154.432444
B140040-37,165.4398642
B140040-38,158.5628894
B140040-39,119.650864
B140040-4,114.7915834
B140040-40,586.8517123
B140040-41,184.1477371
B140040-42,254.4700559
B140040-43,267.357881
B140040-44,200.1380525
B140040-45,262.9798763
B140040-5,385.2715126
B140040-6,294.0289471
B140040-7,160.2593128
B140040-8,108.1006712
B140040-9,289.3244909
B140041-1,280.2465089
B140041-10,160.5247036
B140041-11,164.1652133
B140041-12,251.2733705
B140041-13,33.52264483
B140041-14,123.5068829
B140041-15,226.9604303
B140041-16,236.3002398
B140041-17,173.7850043
B140041-18,174.7609769
B140041-19,155.6166116
B140041-2,176.4347381
B140041-20,244.1533564
B140041-21,152.7768791
B140041-22,164.6147903
B140041-23,239.0779097
B140041-24,159.9889733
B140041-25,151.0378406
B140041-26,156.089661
B140041-27,148.3237389
B140041-28,142.5313842
B140041-29,98.9131199
B140041-3,305.4768766
B140041-30,195.6233143
B140041-31,158.0730819
B140041-32,157.6597781
B140041-33,207.7223616
B140041-34,209.4633662
B140041-35,140.2758154
B140041-36,283.5595615
B140041-37,158.9078334
B140041-38,244.0650504
B140041-39,343.8051271
B140041-4,166.5322183
B140041-40,99.35910107
B140041-41,255.2792588
B140041-42,139.8803407
B140041-43,179.7925662
B140041-44,268.4182479
B140041-5,179.1291779
B140041-6,236.2327283
B140041-7,154.6482863
B140041-8,165.4390834
B140041-9,238.8430136
B150219-1,190.5702409
B150219-10,164.4440332
B150219-11,115.5701446
B150219-12,167.060884
B150219-13,214.0352033
B150219-14,154.0894052
B150219-15,207.0508782
B150219-16,172.1867906
B150219-17,185.0740077
B150219-18,282.1980657
B150219-19,235.5874012
B150219-2,199.8422218
B150219-20,181.9595554
B150219-21,137.0698657
B150219-22,107.2137005
B150219-23,261.4572845
B150219-24,168.2608985
B150219-25,193.3303579
B150219-26,203.599253
B150219-27,174.8014375
B150219-28,197.9320112
B150219-29,206.1116951
B150219-3,208.2824696
B150219-30,300.8884219
B150219-31,208.4889096
B150219-32,233.394393
B150219-33,238.285361
B150219-34,225.9588376
B150219-35,137.9371299
B150219-36,263.2063903
B150219-37,67.1109914
B150219-38,158.6359728
B150219-39,156.424775
B150219-4,165.8745312
B150219-40,119.5408843
B150219-41,220.8839423
B150219-42,214.7534973
B150219-43,204.9358426
B150219-44,127.8201916
B150219-45,134.036623
B150219-46,195.7641397
B150219-47,145.8992892
B150219-48,164.9266291
B150219-49,68.96001827
B150219-5,83.23923779
B150219-50,250.7715291
B150219-51,165.503003
B150219-52,162.3870828
B150219-53,140.3608941
B150219-54,152.729885
B150219-55,122.8243575
B150219-56,203.0969394
B150219-57,204.7702677
B150219-58,210.8804823
B150219-59,111.9998493
B150219-6,165.1259788
B150219-60,253.9103642
B150219-61,180.991524
B150219-62,155.7888782
B150219-63,274.102949
B150219-64,218.2195788
B150219-7,247.2460062
B150219-8,165.5403415
B150219-9,163.4176808
B150220-1,173.3520466
B150220-10,117.2021439
B150220-11,222.3915206
B150220-12,154.3118422
B150220-13,205.4589925
B150220-14,282.306383
B150220-15,236.5939429
B150220-16,224.0352967
B150220-17,169.2238892
B150220-18,112.5994129
B150220-19,210.1318044
B150220-2,171.8859164
B150220-20,200.3562029
B150220-21,147.0774773
B150220-22,209.5296714
B150220-23,281.8797913
B150220-24,179.8218495
B150220-25,175.4682691
B150220-26,178.3830699
B150220-27,109.4103913
B150220-28,120.856281
B150220-29,228.8076748
B150220-3,114.895731
B150220-30,232.7770355
B150220-31,190.3421471
B150220-32,246.5285048
B150220-33,165.5895767
B150220-34,250.3476138
B150220-35,134.3972542
B150220-36,206.1327714
B150220-37,182.1873199
B150220-38,147.9199011
B150220-39,205.1974879
B150220-4,91.87134167
B150220-40,131.1979831
B150220-41,307.8559655
B150220-42,287.2447611
B150220-43,98.70946546
B150220-44,101.5576434
B150220-45,186.6866425
B150220-46,233.4937949
B150220-47,229.1661849
B150220-48,241.4047793
B150220-49,134.6015797
B150220-5,114.7915834
B150220-50,167.8549194
B150220-51,179.8048016
B150220-52,218.4890117
B150220-53,161.5983307
B150220-54,120.1132716
B150220-55,219.9445808
B150220-56,153.5120848
B150220-57,166.9540639
B150220-58,248.3463511
B150220-59,156.815425
B150220-6,170.4582895
B150220-60,177.9500036
B150220-61,72.28827583
B150220-62,163.0071506
B150220-63,174.6712621
B150220-64,157.9393712
B150220-65,130.2062007
B150220-66,261.8439867
B150220-7,157.3228641
B150220-8,173.7813071
B150220-9,213.3052127
B150225-1,190.5702409
B150225-10,164.4440332
B150225-11,115.5701446
B150225-12,167.060884
B150225-13,214.0352033
B150225-14,154.0894052
B150225-15,207.0508782
B150225-16,172.1867906
B150225-17,185.0740077
B150225-18,282.1980657
B150225-19,235.5874012
B150225-2,199.8422218
B150225-20,181.9595554
B150225-21,137.0698657
B150225-22,107.2137005
B150225-23,261.4572845
B150225-24,168.2608985
B150225-25,193.3303579
B150225-26,203.599253
B150225-27,174.8014375
B150225-28,197.9320112
B150225-29,206.1116951
B150225-3,208.2824696
B150225-30,300.8884219
B150225-31,208.4889096
B150225-32,233.394393
B150225-33,238.285361
B150225-34,225.9588376
B150225-35,137.9371299
B150225-36,263.2063903
B150225-37,67.1109914
B150225-38,158.6359728
B150225-39,156.424775
B150225-4,165.8745312
B150225-40,119.5408843
B150225-41,220.8839423
B150225-42,214.7534973
B150225-43,204.9358426
B150225-44,127.8201916
B150225-45,134.036623
B150225-46,195.7641397
B150225-47,145.8992892
B150225-48,164.9266291
B150225-49,68.96001827
B150225-5,83.23923779
B150225-50,250.7715291
B150225-51,165.503003
B150225-52,162.3870828
B150225-53,140.3608941
B150225-54,152.729885
B150225-55,122.8243575
B150225-56,203.0969394
B150225-57,204.7702677
B150225-58,210.8804823
B150225-59,111.9998493
B150225-6,165.1259788
B150225-60,253.9103642
B150225-61,180.991524
B150225-62,155.7888782
B150225-63,274.102949
B150225-64,318.1479334
B150225-65,240.8715063
B150225-66,"3,158.46"
B150225-67,"1,632.30"
B150225-68,152.4804647
B150225-69,282.5981657
B150225-7,247.2460062
B150225-70,348.7005436
B150225-71,388.2575487
B150225-72,678.9324921
B150225-73,"2,185.56"
B150225-8,165.5403415
B150225-9,163.4176808
B150226-1,145.8992892
B150226-10,203.0969394
B150226-11,204.7702677
B150226-12,210.8804823
B150226-13,111.9998493
B150226-14,253.9103642
B150226-15,180.991524
B150226-16,155.7888782
B150226-17,274.102949
B150226-18,318.1479334
B150226-19,240.8715063
B150226-2,164.9266291
B150226-20,"3,158.46"
B150226-21,"1,632.30"
B150226-22,152.4804647
B150226-23,282.5981657
B150226-24,348.7005436
B150226-25,388.2575487
B150226-26,678.9324921
B150226-27,"2,185.56"
B150226-3,68.96001827
B150226-4,250.7715291
B150226-5,165.503003
B150226-6,162.3870828
B150226-7,140.3608941
B150226-8,152.729885
B150226-9,122.8243575
B150227-1,"2,427.33"
B150227-10,169.3175823
B150227-11,114.7915834
B150227-12,170.4582895
B150227-13,157.3228641
B150227-14,173.7813071
B150227-15,213.3052127
B150227-16,117.2021439
B150227-17,222.3915206
B150227-18,154.3118422
B150227-19,205.4589925
B150227-2,393.6099425
B150227-20,282.306383
B150227-21,236.5939429
B150227-22,224.0352967
B150227-23,169.2238892
B150227-24,112.5994129
B150227-25,210.1318044
B150227-26,200.3562029
B150227-27,147.0774773
B150227-28,209.5296714
B150227-29,281.8797913
B150227-3,212.4495989
B150227-30,179.8218495
B150227-31,175.4682691
B150227-32,178.3830699
B150227-33,109.4103913
B150227-34,120.856281
B150227-35,228.8076748
B150227-36,232.7770355
B150227-37,190.3421471
B150227-38,246.5285048
B150227-39,165.5895767
B150227-4,344.8632764
B150227-40,250.3476138
B150227-41,134.3972542
B150227-42,206.1327714
B150227-43,182.1873199
B150227-44,147.9199011
B150227-45,205.1974879
B150227-46,131.1979831
B150227-47,307.8559655
