shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B10153,40.5965604072,-73.9849412124,10003
B10153,40.596066235,-73.984127536,10004
B10153,40.5958191467,-73.9837207023,10005
B10153,40.5956352017,-73.9834135982,10006
B10153,40.5956352017,-73.9834135982,20001
B10153,40.5954155648,-73.9830474518,20002
B10153,40.5947621413,-73.9819781917,20003
B10153,40.5941361605,-73.9809377505,20004
B10153,40.5939961382,-73.9807109451,20005
B10153,40.5937866509,-73.9803595765,20006
B10153,40.5937866509,-73.9803595765,30001
B10153,40.5935046788,-73.9798865283,30002
B10153,40.5928547938,-73.9788162484,30003
B10153,40.5928547938,-73.9788162484,40001
B10153,40.5928292594,-73.9787741288,40002
B10153,40.5926562818,-73.9784753301,40003
B10153,40.5925464555,-73.9782917328,40004
B10153,40.5921867786,-73.9777229514,40005
B10153,40.5919204355,-73.9772225558,40006
B10153,40.5917551489,-73.9769716504,40007
B10153,40.5917551489,-73.9769716504,50001
B10153,40.5914536778,-73.9765134002,50002
B10153,40.5910637766,-73.9758366318,50003
B10153,40.5906409285,-73.9751346797,50004
B10153,40.5902125874,-73.9744363391,50005
B10153,40.5901549145,-73.9742923407,50006
B10153,40.5901137208,-73.9741951428,50007
B10153,40.5901246741,-73.9740799222,50008
B10153,40.5901356354,-73.9740007067,50009
B10153,40.5901622005,-73.9737396592,50010
B10153,40.5901622005,-73.9737396592,60001
B10153,40.5902397008,-73.9729745188,60002
B10153,40.590338299,-73.9720779488,60003
B10153,40.5904423726,-73.9711525695,60004
B10153,40.5904765987,-73.9708202258,60005
B10153,40.5904765987,-73.9708202258,70001
B10153,40.5905382035,-73.9702235905,70002
B10153,40.5906477527,-73.9693018036,70003
B10153,40.5906915612,-73.968899603,70004
B10153,40.5906915612,-73.968899603,80001
B10153,40.5907490581,-73.9683728165,80002
B10153,40.5908038162,-73.967875915,80003
B10153,40.5908503561,-73.9674438266,80004
B10153,40.5908856718,-73.9671201197,80005
B10153,40.5908856718,-73.9671201197,90001
B10153,40.5909516476,-73.9665184344,90002
B10153,40.5910592347,-73.965559911,90003
B10153,40.5910592347,-73.965559911,100001
B10153,40.5911076875,-73.9651285384,100002
B10153,40.5903639006,-73.965301752,100003
B10153,40.5903501766,-73.9653017591,100004
B10153,40.5896503029,-73.9654641446,100005
B10153,40.5896448144,-73.9654677479,100006
B10153,40.5888873029,-73.965640961,100007
B10153,40.5881325359,-73.9658141687,100008
B10153,40.5874326613,-73.9659765434,100009
B10153,40.5866696593,-73.9661497478,100010
B10153,40.5858956799,-73.9663301542,100011
B10153,40.585742004,-73.9664418402,100012
B10153,40.5856294905,-73.9665211027,100013
B10153,40.5855581468,-73.9665931437,100014
B10153,40.5853880123,-73.9667408393,100015
B10153,40.5851217848,-73.966802176,100016
B10153,40.5849818054,-73.9668202468,100017
B10153,40.5847764978,-73.9668311494,100018
B10153,40.5847764978,-73.9668311494,110001
B10153,40.5845673475,-73.9668420539,110002
B10153,40.5842983513,-73.9668205863,110003
B10153,40.5841007374,-73.9668602865,110004
B10153,40.584092503,-73.9668602906,110005
B10153,40.5838646974,-73.9669036058,110006
B10153,40.5836698294,-73.9669469043,110007
B10153,40.5835572865,-73.966925359,110008
B10153,40.5833596757,-73.966975859,110009
B10153,40.582739391,-73.96711297,110010
B10153,40.5825746971,-73.9670914504,110011
B10153,40.5816047491,-73.9673129715,110012
B10153,40.5816047491,-73.9673129715,120001
B10153,40.5815317422,-73.9673295675,120002
B10153,40.5804934544,-73.9675727148,120003
B10153,40.5804934544,-73.9675727148,130001
B10153,40.5804229178,-73.967589309,130002
B10153,40.5802994101,-73.9676181688,130003
B10153,40.5798026332,-73.9677300083,130004
B10153,40.5784660036,-73.968040244,130005
B10153,40.5781360998,-73.968115639,130006
B10153,40.5781360998,-73.968115639,140001
B10153,40.576429492,-73.9685055891,140002
B10153,40.5763389186,-73.9685236307,140003
B10153,40.5763030921,-73.9680016815,140004
B10153,40.5763085122,-73.967753295,140005
B10153,40.5763208277,-73.9676247774,140006
B10153,40.5763208277,-73.9676247774,150001
B10153,40.5763468265,-73.9673537022,150002
B10153,40.57636053,-73.9672817002,150003
B10153,40.5763577914,-73.9673033001,150004
