stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300302,"BAY RIDGE PY/18 AV",,  40.613403, -73.996162,,,0,
300303,"BAY RIDGE PY/19 AV",,  40.611912, -73.993690,,,0,
300304,"BAY RIDGE PY/20 AV",,  40.610603, -73.991516,,,0,
300305,"BAY RIDGE PY/21 AV",,  40.609287, -73.989342,,,0,
300306,"STILLWELL AV/BAY PY",,  40.607635, -73.987427,,,0,
300307,"STILLWELL AV/KINGS HWY",,  40.606167, -73.987167,,,0,
300308,"STILLWELL AV/23 AV",,  40.604649, -73.986877,,,0,
300309,"STILLWELL AV/80 ST",,  40.602772, -73.986534,,,0,
300310,"STILLWELL AV/82 ST",,  40.600712, -73.986130,,,0,
300311,"STILLWELL AV/25 AV",,  40.599339, -73.985863,,,0,
300319,"SHELL RD/AV Y",,  40.587620, -73.974464,,,0,
300320,"AV Z/SHELL RD",,  40.585739, -73.973946,,,0,
300322,"AV Z/WEST ST",,  40.586227, -73.969543,,,0,
300323,"AV Z/OCEAN PY",,  40.586548, -73.966599,,,0,
300326,"NEPTUNE AV/OCEAN PY",,  40.580395, -73.966949,,,0,
300327,"NEPTUNE AV/BRIGHTON 3 ST",,  40.580780, -73.965141,,,0,
300328,"NEPTUNE AV/BRIGHTON 6 ST",,  40.581348, -73.962448,,,0,
300329,"NEPTUNE AV/CONEY ISLAND AV",,  40.581974, -73.959496,,,0,
300332,"SHEEPSHEAD BAY RD/EMMONS AV",,  40.583767, -73.950485,,,0,
300334,"VOORHIES AV/E 14 ST",,  40.585678, -73.954727,,,0,
300335,"E 14 ST/SHEEPSHEAD BAY RD",,  40.587521, -73.955124,,,0,
300337,"AV Z/E 17 ST",,  40.588150, -73.952003,,,0,
300338,"AV Z/E 19 ST",,  40.588360, -73.950134,,,0,
300339,"OCEAN AV/VOORHIES AV",,  40.586613, -73.948860,,,0,
300347,"NOSTRAND AV/SHORE PY",,  40.585899, -73.939034,,,0,
300350,"KNAPP ST/HARKNESS AV",,  40.586441, -73.931587,,,0,
300351,"KNAPP ST/SHORE PKY",,  40.585133, -73.931343,,,0,
300356,"EMMONS AV/E 28 ST",,  40.583935, -73.941086,,,0,
