"shape_id","segment_id","meters_accumulated"
"X170390","56",44422.73999999999
"X170390","51",40635.119999999995
"X170390","36",14367.72
"X170390","53",42782.63999999999
"X170390","52",40840.579999999994
"X170390","33",13249.27
"X170390","55",44137.47999999999
"X170390","37",14722.23
"X170390","18",6040.19
"X170390","57",44470.27999999999
"X170390","50",40387.63
"B460124","11",2507.5000000000005
"B460124","10",2338.3700000000003
"B460124","13",3090.4200000000005
"B460124","12",2840.5800000000004
"B460124","15",3428.4100000000003
"B460124","14",3255.8300000000004
"B460124","17",3932.9500000000003
"B460124","16",3706.88
"B460124","1",85.2
"B460124","3",726.58
"B460124","2",512.9300000000001
"B460124","5",1296.0700000000002
"B460124","4",985.5600000000001
"B460124","7",1710.1800000000003
"B460124","6",1506.2400000000002
"B460124","9",2110.5600000000004
"B460124","8",1923.6900000000003
"B460126","11",3760.6
"B460126","10",2775.0299999999997
"B460126","13",5615.620000000001
"B460126","12",4885.6
"B460126","15",6708.000000000001
"B460126","14",6203.450000000001
"B460126","17",7926.360000000001
"B460126","16",6981.750000000001
"B460126","19",9035.04
"B460126","18",8537.2
"B460126","1",285.2
"B460126","3",918.53
"B460126","2",678.48
"B460126","5",1493.0299999999997
"B460126","4",1226.9299999999998
"B460126","7",1941.2599999999998
"B460126","6",1743.5099999999998
"B460126","9",2517.3099999999995
"B460126","20",9563.12
"B460126","8",2254.2699999999995
"B460127","11",5481.070000000001
"B460127","10",4976.52
"B460127","13",6699.43
"B460127","12",5754.820000000001
"B460127","15",7808.110000000001
"B460127","14",7310.27
"B460127","16",8336.19
"B460127","1",266.1
"B460127","3",714.33
"B460127","2",516.58
"B460127","5",1290.38
"B460127","4",1027.3400000000001
"B460127","7",2533.67
"B460127","6",1548.1000000000001
"B460127","9",4388.6900000000005
"B460127","8",3658.67
"B460121","24",5754.8
"B460121","25",6046.21
"B460121","26",6246.66
"B460121","27",6514.93
"B460121","20",4803.93
"B460121","21",4976.51
"B460121","22",5254.9800000000005
"B460121","23",5481.05
"B460121","28",6699.41
"B460121","29",6980.69
"B460121","1",266.1
"B460121","3",714.33
"B460121","2",516.58
"B460121","5",1290.38
"B460121","4",1027.3400000000001
"B460121","7",1633.3000000000002
"B460121","6",1548.1000000000001
"B460121","9",2274.6800000000003
"B460121","8",2061.03
"B460121","11",2844.17
"B460121","10",2533.6600000000003
"B460121","13",3258.28
"B460121","12",3054.34
"B460121","15",3658.66
"B460121","14",3471.79
"B460121","17",4055.6
"B460121","16",3886.47
"B460121","19",4638.52
"B460121","18",4388.68
"B460121","31",7310.249999999999
"B460121","30",7141.879999999999
"B460121","36",8336.16
"B460121","35",8171.19
"B460121","34",8049.259999999999
"B460121","33",7808.089999999999
"B460121","32",7559.2699999999995
"B460122","24",6030.86
"B460122","25",6203.44
"B460122","26",6481.91
"B460122","27",6707.98
"B460122","20",5113.4
"B460122","21",5282.53
"B460122","22",5615.61
"B460122","23",5865.45
"B460122","1",285.2
"B460122","3",918.53
"B460122","2",678.48
"B460122","5",1493.0299999999997
"B460122","4",1226.9299999999998
"B460122","7",1941.2599999999998
"B460122","6",1743.5099999999998
"B460122","9",2517.3099999999995
"B460122","8",2254.2699999999995
"B460122","11",2860.2299999999996
"B460122","10",2775.0299999999997
"B460122","13",3501.6099999999997
"B460122","12",3287.9599999999996
"B460122","15",4071.0999999999995
"B460122","14",3760.5899999999997
"B460122","17",4485.209999999999
"B460122","16",4281.2699999999995
"B460122","19",4885.589999999999
"B460122","18",4698.719999999999
"B460123","20",4803.93
"B460123","21",4976.51
"B460123","22",5254.9800000000005
"B460123","23",5481.05
"B460123","1",266.1
"B460123","3",714.33
"B460123","2",516.58
"B460123","5",1290.38
"B460123","4",1027.3400000000001
"B460123","7",1633.3000000000002
"B460123","6",1548.1000000000001
"B460123","9",2274.6800000000003
"B460123","8",2061.03
"B460123","11",2844.17
"B460123","10",2533.6600000000003
"B460123","13",3258.28
"B460123","12",3054.34
"B460123","15",3658.66
"B460123","14",3471.79
"B460123","17",4055.6
"B460123","16",3886.47
"B460123","19",4638.52
"B460123","18",4388.68
"B460128","11",3760.6
"B460128","10",2775.0299999999997
"B460128","13",5615.620000000001
"B460128","12",4885.6
"B460128","15",6708.000000000001
"B460128","14",6203.450000000001
"B460128","1",285.2
"B460128","3",918.53
"B460128","2",678.48
"B460128","5",1493.0299999999997
"B460128","4",1226.9299999999998
"B460128","7",1941.2599999999998
"B460128","6",1743.5099999999998
"B460128","9",2517.3099999999995
"B460128","8",2254.2699999999995
"Q410222","30",8235.880000000001
"Q410222","28",7729.280000000001
"Q410222","29",8018.210000000001
"Q410222","35",9480.220000000003
"Q410222","34",9341.030000000002
"Q410222","24",6496.830000000001
"Q410222","25",6874.430000000001
"Q410222","26",7173.080000000001
"Q410222","27",7536.370000000001
"Q410222","20",5519.490000000001
"Q410222","21",5705.490000000001
"Q410222","48",12773.390000000001
"Q410222","49",13080.460000000001
"Q410222","46",12306.070000000002
