shape_id,sequence_id,meters,stop_id
BX200014,20,5392.5,103261
S740277,1,0.0,202864
S740277,2,268.7,200176
S740277,3,762.4,200178
S740277,4,1048.0,203190
S740277,5,1299.8,200180
S740277,6,1570.8,200181
S740277,7,1712.3,201638
S740277,8,1792.8,200183
S740277,9,2177.6,201083
S740277,10,2525.5,202176
S740277,11,2752.4,202177
S740277,12,2993.2,202179
S740277,13,3121.7,202180
S740277,14,3255.1,202181
S740277,15,3417.0,202182
S740277,16,3572.6,202453
S740277,17,3769.3,202184
S740277,18,3997.6,202185
S740277,19,4238.8,201649
S740277,20,4461.5,202187
S740277,21,4625.2,201650
S740277,22,4859.3,201651
S740277,23,5076.1,203414
S740277,24,5337.9,201653
S740277,25,5491.9,201654
S740277,26,5712.7,201655
S740277,27,5886.8,201656
S740277,28,6054.0,203128
S740277,29,6246.9,201658
S740277,30,6477.1,201659
S740277,31,6634.1,203059
S740277,32,7109.4,201662
S740277,33,7302.3,201663
S740277,34,7576.7,201664
S740277,35,7878.1,201665
S740277,36,8081.1,203547
S740277,37,8349.4,202205
S740277,38,8588.5,202206
S740277,39,8705.3,202207
S740277,40,8907.1,202208
S740277,41,9188.2,202209
S740277,42,9353.9,202210
S740277,43,9478.6,202572
S740277,44,9797.4,201460
S740277,45,10039.0,200340
S740277,46,10436.7,200341
S740277,47,10599.7,200342
S740277,48,10928.9,200343
S740277,49,11225.6,202933
S740277,50,11463.3,203645
S740277,51,11936.3,203646
S740277,52,12108.7,203208
S740277,53,12452.6,202725
S740277,54,12752.0,202611
S740277,55,12990.0,202726
S740277,56,13156.6,202228
S740277,57,13294.6,202229
S740277,58,13540.7,202230
S740277,59,13842.4,202231
S740277,60,14129.0,202232
S740277,61,14644.0,200460
Q720050,1,0.0,551987
Q720050,2,446.0,551989
Q720050,3,724.0,551990
Q720050,4,909.2,551992
Q720050,5,1353.3,551994
Q720050,6,1565.9,551996
Q720050,7,1749.8,551997
Q720050,8,1966.5,551999
Q720050,9,2163.5,552001
Q720050,10,2458.1,552003
Q720050,11,2668.9,552005
Q720050,12,2874.3,552007
Q720050,13,3087.7,552009
Q720050,14,3295.1,552010
Q720050,15,3495.4,552011
Q720050,16,3591.4,552012
Q720050,17,3797.4,552013
Q720050,18,3923.1,552014
Q720050,19,4126.3,552015
Q720050,20,4415.5,504023
Q720050,21,4587.9,504024
Q720050,22,4951.0,504542
Q720050,23,6525.5,503875
Q720050,24,6796.1,503848
Q720050,25,7648.2,503850
S740275,1,0.0,202864
S740275,2,268.7,200176
S740275,3,762.4,200178
S740275,4,1048.0,203190
S740275,5,1299.8,200180
S740275,6,1570.8,200181
S740275,7,1712.3,201638
S740275,8,1792.8,200183
S740275,9,2177.6,201083
S740275,10,2525.5,202176
S740275,11,2752.4,202177
S740275,12,2993.2,202179
S740275,13,3121.7,202180
S740275,14,3255.1,202181
S740275,15,3417.0,202182
S740275,16,3572.6,202453
S740275,17,3769.3,202184
S740275,18,3997.6,202185
S740275,19,4238.8,201649
S740275,20,4461.5,202187
S740275,21,4625.2,201650
S740275,22,4859.3,201651
S740275,23,5076.1,203414
S740275,24,5337.9,201653
S740275,25,5491.9,201654
S740275,26,5712.7,201655
S740275,27,5886.8,201656
S740275,28,6054.0,203128
S740275,29,6246.9,201658
S740275,30,6477.1,201659
S740275,31,6634.1,203059
S740275,32,7109.4,201662
S740275,33,7302.3,201663
S740275,34,7576.7,201664
S740275,35,7878.1,201665
S740275,36,8081.1,203547
S740275,37,8349.4,202205
S740275,38,8588.5,202206
S740275,39,8705.3,202207
S740275,40,8907.1,202208
S740275,41,9188.2,202209
S740275,42,9353.9,202210
S740275,43,9478.6,202572
S740275,44,9797.4,201460
S740275,45,10039.0,200340
S740275,46,10436.7,200341
S740275,47,10599.7,200342
S740275,48,10928.9,200343
S740275,49,11225.6,202933
S740275,50,11463.3,203645
S740275,51,11936.3,203646
S740275,52,12108.7,203208
S740275,53,12452.6,202725
S740275,54,12752.0,202611
S740275,55,12990.0,202726
S740275,56,13156.6,202228
S740275,57,13294.6,202229
S740275,58,13540.7,202230
S740275,59,13842.4,202231
S740275,60,14129.0,202232
S740275,61,14644.0,200460
S740270,2,2105.1,202073
S740270,3,2535.8,905130
S740270,4,2812.5,203545
S740270,5,3180.5,203546
S740270,6,3372.9,202076
S740270,7,3480.2,203071
S740270,8,3710.0,202078
S740270,9,3885.7,202079
S740270,10,4484.9,202080
S740270,11,4954.6,202083
S740270,12,5428.1,202084
S740270,13,5694.6,203526
S740270,14,6105.8,203527
S740270,15,6409.7,203528
S740270,16,7143.3,203572
S740270,17,7442.0,203531
S740270,18,7671.9,203551
S740270,19,7868.1,203532
S740270,20,8270.8,203533
S740270,21,8506.3,203534
